Product,Count,Price
"Hershey's Variety Pack,",30-count,$32.99
"Kirkland Signature All Chocolate Bag, 90 oz,",,$22.99
"Kirkland Signature Funhouse Treats, Variety Pack, 92 oz",,$22.99
"M&M's, Snickers and More Chocolate Candy Bars, Variety Pack,",30-count,$31.99
"Hershey's Nuggets Assortment, Variety Pack,",145-count,$19.99
"M&M's, Skittles and More Candy Bars, Variety Pack, Full Size,",30-count,$31.99
"Ferrero Rocher, Milk Chocolate Hazelnut Candy, 21.2 oz,",48 Count,$17.99
"Kirkland Signature Almonds, Milk Chocolate, 3 lb",,$16.99
"Hershey's Miniatures, Variety Pack, 56 oz",,$19.99
"Reese's Peanut Butter Cups, Miniatures, 0.31 oz,",105-count,$12.99
"Kirkland Signature Raisins, Milk Chocolate, 3.4 lb",,$19.99
"Payday Peanut Caramel Bar, 1.85 oz,",24-count,$26.99
"Crunch Candy Bar, 1.55 oz,",36-count,$39.99
"Kirkland Signature Belgian Luxury Chocolates,",46-count,$20.99
"Hershey's Milk Chocolate With Almonds, 1.45 oz,",36-count,$39.99
"M&M's Milk Chocolate Candy Minis, 1.08 oz,",24-count,$26.99
"AirHeads, 0.55 oz, Variety Pack,",90-count,$15.99
"Dove Milk Chocolate Candy Bars, Full Size, 1.44 oz,",18-count,$19.99
"Topps Ring Pops, Variety,",40-count,$17.99
"Topps Juicy Drop Taffy, 2.36 oz, Variety,",16-count,$28.99
"Butterfinger Candy Bar, 1.9 oz,",36-count,$39.99
"Reese's Peanut Butter Cups, King Size, 2.8 oz,",24-count,$44.99
"M&M's Chocolate Candy, Peanut, 62 oz Jar",,$18.99
"Reese's Take 5 Candy Bar, 1.5 oz,",18-count,$19.99
"Haribo Goldbears Gummi Candy, 2 oz,",24-count,$19.99
"Sour Patch Soft & Chewy Candy, Watermelon, 2 oz,",24-count,$24.99
"Hi-Chew Fruit Chews, Original Mix, 30 oz",,$11.99
"Trolli Sour Brite Crawlers Candy, 5 oz,",16-count,$24.99
"Starburst Chewy Candy, Original, 54 oz",,$11.49
"Jolly Rancher Hard Candy, Variety Pack, 80 oz,",360-count,$14.99
"Sour Punch Twists, Variety,",180-count,$16.99
"Almond Joy Candy Bar, 1.6 oz,",36-count,$37.99
"Unreal Dark Chocolate Coconut Minis, 15.3 oz",,$12.99
"Kellogg's Rice Krispies Treats, 0.78 oz,",60-count,$15.99
"Nerds Gummy Clusters, Rainbow, 5 oz,",12-count,$27.99
"Hershey's Milk Chocolate with Almonds, King Size,",18-count,$34.99
"Hershey's Kisses, Milk Chocolate, 56 oz",,$19.99
"Lindt Lindor Chocolate Truffles, Assorted Flavors, 21.2 oz",,$15.99
"Sweet Tart, Twisted Rainbow Punch Ropes, 5 oz,",12-count,$27.49
"Kinder Bueno Chocolate and Hazelnut Chocolate Bars, 2 Bars, 1.5 oz,",20 Pack,$19.99
"Jolly Rancher Original Gummies, 7 oz,",12-count,$26.99
"Life Savers Breath Mints Hard Candy, Wint-O-Green, 53.95 oz Bag",,$11.99
Godiva Assorted Chocolate Gold Collection Gift Box 36-pieces,,$44.99
Godiva Masterpieces Assortment of Legendary Milk Chocolate 14.9 oz,4-Pack,$59.99
"Kinder Joy Egg, .7 oz,",12-count,$16.99
"Bouchard Belgian Napolitains Premium Dark Chocolate 32 oz,  2-pack",,$54.99
"Haribo Goldbears Gummi Candy, Mini Bags, 0.4 oz,",125-count,$16.49
"Charms Blow Pop, 0.65 oz, Assorted Bubble Gum Filled Pops,",100-count,$15.99
"Ferrero Rocher, Milk Chocolate Hazelnut Candy, 1.3 oz,",3-count,$14.99
"Skittles Sour Chewy Candy, Full Size, 1.8 oz,",24-count,$25.99
"Skittles Tropical Full Size Chewy Candy, 2.17 oz,",36-count,$39.99
"Reese's Peanut Butter Cups, Milk Chocolate, 1.5 oz,",36-count,$39.99
"Amedei 70% Dark Chocolate, After Dinner/Hotel Lobby Chocolates, 4.5 g,",204 count,$99.99
"E.Frutti Gummi Pizza,",48-Count,$14.99
"Tootsie Pops, Fun Flavor, 0.6 oz, Assorted,",100-count,$15.99
"Kit Kat Crisp Wafers In Milk Chocolate, 1.5 oz,",36-count,$37.99
"RED Delight Vegan Dark Chocolate Bars 30 - 14 Gr. Snack Size Bars Per Bag, 2-pack",,$32.99
"Snickers Chocolate Candy Bars, Full Size, 1.86 oz,",48-count,$49.99
"Hershey's King Size Milk Chocolate Bars, 2.6 oz,",18-count,$34.99
"Hershey's Milk Chocolate, 1.55 oz,",36-count,$39.99
"Skittles Original Chewy Candy, Full Size, 2.17 oz,",36-count,$36.99
"Twix Caramel Cookie Chocolate Candy Bar, Full Size, 1.79 oz,",36-count,$39.99
"Reese's Peanut Butter Cups, Big Cups, 2.8 oz,",16-count,$31.99
"M&M's Chocolate Candy, Peanut, Full Size, 1.74 oz,",48-count,$49.99
"Heath Bar, 1.4 oz,",18-count,$19.99
"Nutella & GO! Hazelnut and Cocoa Spread With Pretzels, 1.9 oz,",16 Pack,$18.99
"M&M's Milk Chocolate Candy, 62 oz Jar",,$18.99
"Toblerone Swiss Milk Chocolate Bar, 3.52 oz,",6-Count,$15.99
"Fruit Gushers Fruit Flavored Snacks, Variety Pack, 0.8 oz,",42-Count,$15.99
