Product,Count,Price
"Collin Street Bakery Cinnamon Coffee Cake, 3.79 lb.",,$49.99
"David’s Cookies Mile High Peanut Butter Cake, 6.8 lbs (14 Servings)",,$72.99
"La Grande Galette French Butter Cookies, 1.3 lb, 6-pack",,$69.99
"The Cake Bake Shop 8"" Round Carrot Cake (16-22 Servings)",,$159.99
David's Cookies Mango & Strawberry Cheesecake,2-count,$69.99
"St Michel Madeleine, Classic French Sponge Cake 100 - count",,$44.99
David's Cookies Brownie and Cookie Combo Pack,,$23.99
"David’s Cookies Variety Cheesecakes, 2-pack (28 Slices Total)",,$69.99
"David’s Cookies Premier Chocolate Cake, 7.2 lbs (Serves 14)",,$74.99
"Classic Cake Limoncello Quarter Sheet Cake (14 Pre-Cut Total Slices, 4 Oz. Per Slice, 3.5 Lbs Total Box)",,$89.99
"David's Cookies No Sugar Added Cheesecake & Marble Truffle Cake, 2-pack (28 Slices Total)",,$69.99
"David's Cookies Chocolate Fudge Birthday Cake, 3.75 lbs.  Includes Party Pack (16 Servings)",,$64.99
"Collin Street Bakery Mini Pecan Cake Bundle, 9 oz. per Cake",,$59.99
Ferrara’s Bakery New York Cheesecake 2-pack,,$99.99
"The Cake Bake Shop 8"" Round Chocolate Cake (16-22 Servings)",,$159.99
"Ferrara’s Bakery 8 in. Tiramisu Cake, 2-pack",,$99.99
"The Cake Bake Shop 8"" Round Pixie Fetti Cake (16-22 Servings)",,$159.99
"David's Cookies 10"" Rainbow Cake  (12 Servings)",,$72.99
David’s Cookies Signature 12 Cookie 10 Brownie Assortment,,$34.99
"Kirkland Signature Walkers Premium Shortbread Selection, 4.6 lbs",,$28.99
"Mary Macleod's All Butter Shortbread Cookies, 2-pack, 64 Cookies Per Jar",,$99.99
David's Cookies 90-piece Gourmet Chocolate Chunk Frozen Cookie Dough,,$64.99
David’s Cookies Decadent Triple Chocolate made with mini Hershey’s Kisses and Reese’s Peanut Butter Cup Cookies Tin –,2 Count,$39.99
"Kelsen Danish Butter Cookies, 1 lb,",4-count,$19.99
Mary Macleod's Gluten Free Shortbread Cookies Mixed Assortment,8-Pack,$49.99
"Hostess Cupcakes & Twinkies,",32-count,$10.99
"DeMilan Panettone Tin, Low Bake Panettone, 1kg",,$26.99
Ferrara's Bakery 24 Large Cannoli's (12 Plain Filled and 12 Hand Dipped Belgian Chocolate),,$129.99
"Mary Macleod's Shortbread Cookies Mixed Assortment, 8-pack, 48 Cookies Total",,$49.99
"Mary Macleod’s Shortbread, Variety Tin, 3-pack, 24 cookies per tin",,$69.99
Ferrara's Bakery Rainbow Cookies 1.5 lb,,$34.99
"Collin Street Bakery Cake Bites Bundle, DeLuxe® Fruitcake & Pineapple Pecan Cake, 2 pack, 24 bites total",,$29.99
"David's Cookies Butter Pecan Meltaways,",3 Pack,$39.99
