Product,Count,Price
"Kirkland Signature All Chocolate Bag, 90 oz,",,$22.99
"Kirkland Signature Paper Towels, 2-Ply, 160 Sheets, 12 Individually Wrapped Rolls",,$22.99
"Kirkland Signature Funhouse Treats, Variety Pack, 92 oz",,$22.99
"Kirkland Signature Coffee Organic Pacific Bold K-Cup Pod,",120-count,$37.99
"Kirkland Signature Ultra Clean Free & Clear HE Liquid Laundry Detergent, 146 loads, 194 fl oz",,$16.39
"Kirkland Signature Chewy Protein Bar, Peanut Butter & Semisweet Chocolate Chip, 1.41 oz,",42-Count,$16.99
"Kirkland Signature Almonds, Milk Chocolate, 3 lb",,$16.99
"Kirkland Signature Platinum Performance UltraShine Dishwasher Detergent Pacs,",115-count,$13.99
"Kirkland Signature Ultra Soft Bath Tissue, 2-Ply, 231 Sheets, 36 Rolls",,$24.99
"Kirkland Signature Coffee Organic House Decaf K-Cup Pod,",120-count,$37.99
"Kirkland Signature Raisins, Milk Chocolate, 3.4 lb",,$19.99
"Kirkland Signature Peanut Butter Filled Pretzel Nuggets, 55 oz",,$11.99
"Kirkland Signature Coffee Organic Breakfast Blend K-Cup Pod,",120-count,$37.99
"Kirkland Signature Belgian Luxury Chocolates,",46-count,$20.99
"Kirkland Signature Coffee Organic Summit Roast K-Cup Pod,",120-count,$37.99
"Kirkland Signature Soft & Chewy Granola Bars, 0.85 oz,",64-count,$12.59
"Kirkland Signature Protein Bar, Variety Pack, 2.12 oz,",20-count,$23.99
"Kirkland Signature Snacking Nuts, Variety Pack, 1.6 oz,",30-count,$16.99
"Kirkland Signature Ultra Clean HE Liquid Laundry Detergent, 146 loads, 194 fl oz",,$16.39
"Kirkland Signature European Cookies With Belgian Chocolate, Assortment, 49.4 oz",,$17.99
"Kirkland Signature Whole Bean Coffee, French Roast, 2.5 lbs",,$12.99
"Kirkland Signature, Organic Applesauce, 3.17 oz,",24-Count,$12.99
"Kirkland Signature Trail Mix Snack Packs, 2 oz,",28-count,$17.99
"Kirkland Signature, Organic Extra Virgin Olive Oil, 2 L",,$22.99
"Kirkland Signature Microwave Popcorn, 3.3 oz,",44-count,$16.99
"Kirkland Signature Colombian Supremo Coffee, Whole Bean, 3 lbs",,$20.99
"Kirkland Signature Organic Peanut Butter, 28 oz,",2-count,$12.99
"Kirkland Signature 100% Colombian Coffee, Dark Roast, 3 lbs",,$16.99
"Kirkland Signature Nut Bars, 1.41 oz,",30-count,$17.99
"Kirkland Signature Mature Formula Chicken, Rice and Egg Dog Food 40 lb.",,$46.99
"Kirkland Signature Cashew Clusters, 2 lbs",,$10.99
"Kirkland Signature 18-Gallon Compactor & Kitchen Trash Bag,",70-count,$17.99
"Kirkland Signature Creamy Almond Butter, 27 oz",,$7.49
"Kirkland Signature, Extra Virgin Italian Olive Oil, 2 L",,$25.99
"Kirkland Signature Colombian Cold Brew Coffee, 11 fl oz,",12-count,$18.99
"Kirkland Signature Nature's Domain Salmon & Sweet Potato Formula Dog Food, 35 lbs",,$49.99
"Kirkland Signature Fancy Whole Cashews, 2.5 lbs",,$14.99
"Kirkland Signature, Chicken Breast, 12.5 oz,",6-Count,$14.99
"Kirkland Signature Decaffeinated Coffee, Dark Roast, 3 lbs",,$17.49
"Kirkland Signature Walnut Halves, 3 lbs",,$8.99
"Kirkland Signature 10-Gallon Wastebasket Liner, Clear,",500-count,$13.99
"Kirkland Signature Shelled Pistachios, 1.5 lbs",,$16.99
"Kirkland Signature Flex-Tech 33-Gallon Trash Bag,",90-count,$23.99
"Kirkland Signature Olive Oil, 3 L",,$36.99
