Product,Count,Price
"Ahi Tuna Individual Vacuum Packed Portion (26-27/6 Oz. Per Portion), 26-27 Total Packs, 10 Lbs. Total Case",,$219.99
Northwest Fish Wild Alaskan Sockeye Salmon Fillets Total,25 Count,$179.99
"Chicago Steak Premium Angus Beef Surf & Turf, 15 Total Packs, 7 Lbs. Total",,$239.99
Coastal Seafood Frozen Lobster Tails,12 Count,$249.99
"Chicago Steak Filet Mignon & Scallop Combo, 14 Total Packs, 7 Lbs. Total",,$249.99
"Crown Prince Smoked Oysters in Olive Oil, Fancy Whole, 3.75 oz,",6-count,$14.99
"Coastal Seafoods Super Colossal Alaskan Red King Crab Leg Clusters, Total 10 lbs.",,$549.99
"Sesame Crusted Ahi Tuna Steaks, 18 Total Packs, 1 Case Totaling 12 Lbs.",,$269.99
Northwest Fish Wild Alaskan Cod Loins Total,25 Count,$199.99
"“Naked” Lobster 100% Boneless Lobster Meat, 6 - 6 oz. Packs, 2.25 Lbs. Total",,$269.99
"Mahi Mahi Boneless 6 oz. Portions, 10 lb Total",,$249.99
"Wild Alaska Snow Crab Meat (Bairdi Crab 8 oz. Pack) 12 Total Packs, 6 Lbs. Total",,$299.99
"A5 Wagyu Surf & Turf Pack, Cold Water Lobster Tails & Japanese A5 Wagyu Filet Mignon, Total",4 Pack,$379.99
"Northwest Fish’s 20/30 Bacon Wrapped Scallops, (3/2 Lbs. Per Pack), 3 Total Packs, 6 Lbs. Total",,$179.99
"Northwest Fish 4-6 Whole Dungeness Crab, 10 lbs",,$209.99
Alaska Bairdi Snow Crab Sections 5 bags (2 lbs. each) - Total 10 lbs.,,$299.99
"Rastelli’s Angus Beef Prime Petite Filet Mignons & Wild Caught Maine Lobster Tails, 8 Total Packs, 3 Lbs. Total",,$164.99
"Rastelli’s Petite Filet Mignon & Jumbo Lump Crab Cake Surf & Turf, 24 Total Packs, 6.75 Total Lbs.",,$349.99
"Lobster Claws & Arms, Sustainable Wild Caught, North Atlantic, 24-40 Claws & Arms (3-5 Lb. Per.), Total 8Lb. Case",,$199.99
"Key West Pink 16/20 Gulf Shrimp Headless Shell-On (3/2Lb Per Bag), Total",3 Pack,$119.99
"Ahi Tuna Mixed Pack, (12 x 6 oz. Steaks, 9 x 5.3 oz. Saku Slice Packs, 4 x 10.7 oz. Sesame Crusted Steak Packs), 25 Total Packs, 10.15 Lbs. Total",,$239.99
"Rastelli’s Jumbo Lump Crab Cakes (20/4 Oz. Per Crab Cake), 20 Total Count, 5 Lbs. Total",,$149.99
"Cedar Planked Salmon, 20 - 6 oz. Planks, 7.5 lb Total",,$189.99
"Tsar Nicoulai Smoked Salmon Tzatziki Dip 6 oz., 6-pack",,$69.99
"Lobster Bisque, 10 -16 oz. Bags, 10 lb Total",,$169.99
"Smoked New Zealand King Salmon, 1.1lb fillets,",2-count,$109.99
"Trident Seafoods Smoked Sockeye Salmon, 2 Gift Packs",,$59.99
"Seabear Wild Sockeye & King  Smoked Salmon Fillet Duo, Total 2lbs. (1 lb each)",,$64.99
"Northwest Fish Wild Alaskan Sockeye Salmon Fillets, 10 lbs",,$219.99
"Tsar Nicoulai Caviar Sturgeon Pate 6 oz, 6-pack",,$59.99
"Ahi Tuna Saku Slices, 30 Total Packs, 1 Case Totaling 9.93 Lbs.",,$289.99
"Candied Shoyu Sturgeon package 6 oz., 6-pack (pre-sliced)",,$79.99
"SeaBear Smoked Salmon Gift Boxes, 6 oz, 6-pack",,$79.99
"Alaska Black Cod (Sable Fish) - Individual Packed Portions (19-25/6-8 Oz. Per Portion), 1 Case Totaling 10 Lbs.",,$269.99
"Boneless/Skinless Halibut Portions,",23-32 Count,$369.99
"Wild Alaska Coho Salmon Portions, Total 10Lbs.",,$149.99
"Wild Alaska Giant Wholecooked Red Sea Cucumber (3 x 3 Lbs. Bags) 3 Total Packs, 9 Lbs. Total",,$289.99
"Northwest Fish U-12 Sea Scallops, 6 lbs",,$229.99
"Aysen Coho Sashimi Quality Salmon Portions, (6 Oz. Portion Per Pack), 26 to 27 Total Packs, 10 Lbs. Total",,$169.99
"Northwest Red King Salmon Portions, 12 Total Count, 1 Case Totaling 6 Lbs.",,$179.99
"El Rey Del Pulpo, Large Cooked Octopus Tentacles, 14 oz, 6-pack, 5.25 lbs",,$169.99
"Northwest Fish Sablefish Loins, Skin on, 7 oz,",23-count,$289.99
"American Red Snapper - Whole, Head-On, Cleaned, (5-7 Individually Vacuum Packed Portions/ 1.5-2 Lbs Per Fish) - Total 10Lbs.",,$189.99
"Whole Head On, Cleaned Branzino Fish (12-18 Oz. Per Fish), Min",7 Count,$139.99
"Tsar Nicoulai Estate Smoked Sturgeon 6 oz,",6-count,$79.99
"East Coast Seafood Whole Cooked Lobsters, (6-7 Lobsters/1.25-1.50 Lbs. Each Lobster), Total 10 Lbs.",,$199.99
"Premium Seafood Variety Pack - 20 Total Packs, Total 12.5 Lbs.",,$349.99
"Ready to Eat Wild Salmon Variety Pack, 9 Pouches (3.5 oz. each)",,$54.99
