Product,Count,Price
"Lotus Biscoff Cookies, 8.8 oz.,",4 Count,$10.99
"Frito Lay, Fun Flavor Mix Variety Pack,",54-count,$23.99
"PopCorners Popped Corn Snacks Variety Pack, 1 oz,",30-Count,$18.99
"Kirkland Signature Chewy Protein Bar, Peanut Butter & Semisweet Chocolate Chip, 1.41 oz,",42-Count,$16.99
"Frito Lay Classic Mix, 1 oz, Variety Pack,",54-count,$18.49
"Kirkland Signature Protein Bars Chocolate Chip Cookie Dough 2.12 oz.,",20-count,$23.99
"Kirkland Signature Protein Bars Chocolate Peanut Butter Chunk 2.12 oz,",20-count,$23.99
"Kirkland Signature Peanut Butter Filled Pretzel Nuggets, 55 oz",,$11.99
"Kirkland Signature Soft & Chewy Granola Bars, 0.85 oz,",64-count,$12.59
"FITCRUNCH Wafer Protein Bars, Chocolate Peanut Butter, 1.59 oz,",18-count,$22.99
"Nabisco Cookies & Crackers, Variety Pack, 1 oz,",40-count,$14.99
"G2G 3-pack Almond Chocolate Chip Protein Bars,",24-count,$49.99
"Pirate's Booty Aged White Cheddar Snack, 0.5 oz,",40-count,$15.99
"Genius Gourmet Protein Bar, Variety Pack,",30 Count,$39.99
"Nature Valley Protein Bar, Peanut Butter Dark Chocolate, 1.42 oz,",30-count,$18.99
"Simply Protein Crispy Bar Variety Pack,",15-count,$20.99
"Skinny Pop Popcorn, 0.65 oz,",28-count,$16.99
"Ritz Crackers Handi-Snacks, Crackers 'N Cheese Dip, 0.95 oz,",30-Count,$14.99
"That's it Mini Fruit Bars,",24-count,$15.99
"Kirkland Signature Protein Bar, Variety Pack, 2.12 oz,",20-count,$23.99
"Kirkland Signature Snacking Nuts, Variety Pack, 1.6 oz,",30-count,$16.99
"Grandma's Cookies, Variety Pack, 2.5 oz,",33-count,$22.99
"G2G 3-pack Peanut Butter & Jelly Protein Bars,",24-count,$49.99
"Chips Ahoy! Cookies, Chocolate Chip, 1.55 oz,",24-count,$12.99
"Pure Organic Layered Fruit Bars, Variety Pack,  0.63 oz,",28-count,$15.99
"Chef Robert Irvine’s Fitcrunch Chocolate Peanut Butter Whey Protein Bars,",18-count,$22.99
"Nature's Garden Organic Trail Mix Snack Packs, Variety Pack, 1.2 oz,",24-count,$14.99
"Doritos Tortilla Chips, Nacho Cheese, 1 oz,",50-count,$22.99
"Doritos Tortilla Chips, Nacho Cheese, 1.75 oz,",64-count,$44.99
"Kirkland Signature Protein Bar, Variety Pack, 2.12 oz,",20-count,$23.99
"Frito Lay Select Mix, Variety Pack,",30-count,$23.99
"Kirkland Signature, Organic Applesauce, 3.17 oz,",24-Count,$12.99
"Kirkland Signature Trail Mix Snack Packs, 2 oz,",28-count,$17.99
"Welch’s Fruit Snacks, .8 oz,",90-count,$15.99
"Welch's Juicefuls Juicy Fruit Snacks, Variety Pack, 2.25 oz,",15-count,$14.99
"Milano Cookies, Double Dark Chocolate, 0.98 oz,",30-count,$13.99
"Annie's Organic Bunny Snack Pack Baked Crackers and Graham Snacks, 1.07 oz, Variety Pack,",36-count,$16.99
"Pepperidge Farm Goldfish Snacks, Variety Pack,",45-count,$18.99
"Chef Robert Irvine's Fit Crunch Whey Protein Bars, Mint Chocolate Chip,",18-count,$22.99
"Power Crunch Protein Energy Bar, Strawberry Creme, 1.4 oz,",12-count,$17.99
"Kirkland Signature Microwave Popcorn, 3.3 oz,",44-count,$16.99
"Genius Gourmet Variety Crispy Protein Bar Treat,",30-count,$39.99
"SkinnyPop Popcorn, Variety,",36-count,$18.99
"Kirkland Signature Nut Bars, 1.41 oz,",30-count,$17.99
"Kind Mini Bars, Variety Pack, 0.7 oz,",36-count,$20.99
"Kirkland Signature Cashew Clusters, 2 lbs",,$10.99
FITCRUNCH - Costco Next,,
"WildRoot's Coastal Berry Trail Mix, 26 oz",,$11.99
"Entenmann's Little Bites Chocolate Chip Muffins, 1.65 oz,",20-Count,$13.99
"Lay's Potato Chips, Classic, 1 oz,",50-count,$22.99
"Ritz Cracker Sandwiches, Peanut Butter,",40-count,$14.99
"Kirkland Signature Fancy Whole Cashews, 2.5 lbs",,$14.99
"Lance Toasty Cracker Sandwiches, 1.29 oz,",40-count,$9.99
G2G 3-pack Peanut Butter Chocolate Chip Protein Bars,24-count,$49.99
"Kirkland Signature Extra Fancy Mixed Nuts, Salted, 2.5 lbs",,$14.99
"Snyder's of Hanover Mini Pretzels, 0.9 oz,",60-count,$13.99
"Skippy Peanut Butter & Chocolate Fudge Wafer Bar, 1.3 oz,",22-Count,$13.99
"Simple Mills Almond Flour Sea Salt Crackers, 10 oz,",2-count,$11.99
"The Worthy Crumb, Mini Muffins, Chocolate Chip, 2.6 oz,",16 Count,$14.99
"Kirkland Signature Walnut Halves, 3 lbs",,$8.99
"Pure Protein Bars, Variety Pack, 1.76 oz,",23-count,$27.99
"Think Thin High Protein Bar, Variety Pack, 2.1 oz,",18-count,$24.49
"Zapp’s Potato Chips, Variety Pack, 1 oz,",36-count,$14.49
"Kirkland Signature Shelled Pistachios, 1.5 lbs",,$16.99
"Takis Rolled Tortilla Chips, Fuego, 1 oz,",50-count,$21.99
"Mott's Applesauce, Variety Pack, 3.2 oz,",32-count,$17.99
"Pringles Potato Chips, Original, 0.67 oz,",60-count,$24.99
"St Michel Madeleine, Classic French Sponge Cake 100 - count",,$44.99
"Lay's Potato Chips, Classic, 1.5 oz,",64-count,$49.99
"Power Crunch Protein Energy Bar, Triple Chocolate, 1.4 oz,",12-count,$17.99
"Nature Valley Fruit & Nut Chewy Granola Bar, Trail Mix, 1.2 oz,",48-count,$17.99
"Frito Lay Classic Mix, Variety Pack,",30-count,$21.99
"Kirkland Signature Butter Toffee Cashews, 24 oz",,$9.99
"Ready Protein Bar, Chocolate Peanut Butter and Sea Salt,",24-count,$54.99
"Kirkland Signature Supreme Whole Almonds, 3 lbs",,$11.99
"Nature Valley Biscuits with Almond Butter, 1.35 oz,",30-count,$17.99
"Oreo Cookies Variety Pack,",60-count,$13.99
"Famous Amos Cookies, Chocolate Chip, 2 oz,",42-count,$20.99
"Takis Rolled Tortilla Chips, Fuego, 3.25 oz,",40-count,$62.99
"Oreo Chocolate Sandwich Cookies, 2.4 oz,",30-count,$15.99
"Nutter Butter Sandwich Cookies, 1.9 oz,",24-count,$12.99
No Sugar Keto Bar (,12 count,$42.99
"Kirkland Signature Pecan Halves, 2 lbs",,$12.99
"Clif Kid ZBar Organic Granola Bar, Variety Pack, 1.27 oz,",36-count,$26.99
G2G 3-pack Peanut Butter Coconut Chocolate Protein Bars,24-count,$49.99
"Clif Builder's Protein Bar, Variety Pack, 2.40 oz,",18-count,$26.99
"RITZ Bits Cracker Sandwiches, Cheese, 1.5 oz,",30-count,$14.99
"Orville Redenbacher's Original Popping Corn, 8 lbs",,$15.39
"Pocky Chocolate Biscuit Stick, 1.41 oz,",10-count,$9.99
