Product Name,Price,Product Link
Pressed 3-Day Cleanse Bundle (18 Juices & 6 Shots),$99.99,https://www.costco.com/pressed-3-day-cleanse-bundle-18-juices-%2526-6-shots.product.100822226.html
"Kirkland Signature Bottled Water 16.9 fl oz, 40-count, 48 Case Pallet",$439.99,https://www.costco.com/kirkland-signature-bottled-water-16.9-fl-oz%2c-40-count%2c-48-case-pallet.product.100344425.html
"ZOA Zero Sugar Energy Drink, Variety Pack, 12 fl oz, 18-count",$24.99,/all-costco-grocery.html
"Maison Perrier Sparkling Water, 16.9 fl oz, 24-count",$24.99,/all-costco-grocery.html
"Hint Flavored Water, Variety Pack, 16 fl oz, 21-count",$21.49,/all-costco-grocery.html
"Body Armor Lyte SuperDrink, Variety Pack, 20 fl oz, 18-count",$21.99,/all-costco-grocery.html
"V8, Original Vegetable Juice, 11.5 fl oz, 28-Count",$19.99,/all-costco-grocery.html
"Pure Life Purified Water, 8 fl oz, 24-count",$4.99,/all-costco-grocery.html
"Coca-Cola Mini, 7.5 fl oz, 30-count",$19.99,/all-costco-grocery.html
"Red Bull Energy Drink, Juneberry, 8.4 fl oz, 24-count",$45.99,/all-costco-grocery.html
"Body Armor SuperDrink, Variety Pack, 20 fl oz, 18-count",$21.99,/all-costco-grocery.html
"Coca-Cola Mini, Variety Pack, 7.5 fl oz, 30-count",$19.99,/all-costco-grocery.html
"Fiji Natural Artesian Water, 23.7 fl oz, 12-count",$24.99,/all-costco-grocery.html
"Kirkland Signature, Organic Almond Beverage, Vanilla, 32 fl oz, 6-Count",$9.99,/all-costco-grocery.html
"Poppi Prebiotic Soda, Variety Pack, 12 fl oz, 15-count",$24.99,/all-costco-grocery.html
"Kirkland Signature, Almond Milk, 1 qt, 12-count",$14.99,/all-costco-grocery.html
"V8 Splash, Variety Pack, 16 fl oz, 12-Count",$13.99,/all-costco-grocery.html
"Kirkland Signature, Organic Coconut Water, 11.1 fl oz, 12-count",$12.99,/all-costco-grocery.html
"Califia Farms, Cafe Almond Milk, 32 oz, 6-count",$17.99,/all-costco-grocery.html
"Kirkland Signature, Organic Coconut Water, 33.8 fl oz, 9-count",$21.99,/all-costco-grocery.html
"Olipop 12 oz Prebiotics Soda Variety Pack, 24 Count",$54.99,https://www.costco.com/olipop-12-oz-prebiotics-soda-variety-pack%2c-24-count.product.4000181761.html
"Pepsi Mini, 7.5 fl oz, 30-count",$16.49,/all-costco-grocery.html
"Capri Sun, 100% Juice, Variety Pack, 6 fl oz, 40-Count",$15.99,/all-costco-grocery.html
"Califia Farms, Cafe Oat Milk, 32 fl oz, 6-Count",$17.99,/all-costco-grocery.html
"LaCroix Sparkling Water, Variety Pack, 12 fl oz, 24-count",$9.49,/all-costco-grocery.html
"Vita Coco, Coconut Water, 11.1 fl oz, 18-Count",$23.99,/all-costco-grocery.html
Almond Cow Complete Plant-Based Milk System,$199.99,https://www.costco.com/almond-cow-complete-plant-based-milk-system.product.4000288422.html
"Tropicana, 100% Orange Juice, 10 fl oz, 24-Count",$18.99,/all-costco-grocery.html
"Honest Kids, Organic Juice Drink, Variety Pack, 6 fl oz, 40-Count",$15.99,/all-costco-grocery.html
"Celsius Sparkling Energy Drink, Variety Pack, 12 fl oz, 18-count",$28.99,/all-costco-grocery.html
"Starbucks Classic Hot Cocoa Mix 30 oz, 2-pack",$28.99,https://www.costco.com/starbucks-classic-hot-cocoa-mix-30-oz%2c-2-pack.product.100071096.html
"LaCroix Sparkling Water, Variety Pack, 12 fl oz, 24-count",$9.49,/all-costco-grocery.html
"San Pellegrino Sparkling Natural Mineral Water, Unflavored, 11.15 fl oz, 24-count",$15.59,/all-costco-grocery.html
"San Pellegrino Italian Sparkling Drink, Melograno & Arancia, 11.15 fl oz, 24-count",$23.99,/all-costco-grocery.html
"Tropicana, Apple Juice, 15.2 fl oz, 12-Count",$18.99,/all-costco-grocery.html
"San Pellegrino Italian Sparkling Drink, Aranciata Rossa, 11.15 fl oz, 24-count",$23.99,/all-costco-grocery.html
"LaCroix Curate Commemorative Collection Sparkling Water, Variety Pack, 12 fl oz, 24-count",$12.99,/all-costco-grocery.html
"Sprite Mini, 7.5 fl oz, 30-count",$19.99,/all-costco-grocery.html
"Swiss Miss, Hot Cocoa Mix, 1.38 oz, 50-Count",$9.99,/all-costco-grocery.html
"LaCroix Sparkling Water, Lime, 12 fl oz, 24-count",$11.49,/all-costco-grocery.html
"LaCroix Sparkling Water, Grapefruit, 12 fl oz, 24-count",$11.49,/all-costco-grocery.html
"Red Bull Energy Drink, Sugar Free, 8.4 fl oz, 24-count",$31.99,/all-costco-grocery.html
"C2O Coconut Water Hydration Pack, The Original, 17.5 fl oz, 15-count",$25.99,/all-costco-grocery.html
"Gatorade Thirst Quencher, Core Variety Pack, 12 fl oz, 28-count",$18.99,/all-costco-grocery.html
"Vita Coco, Coconut Water, Original, 16.9 fl oz, 12-Count",$27.99,/all-costco-grocery.html
"Gatorade Zero Thirst Quencher, Variety Pack, 12 fl oz, 28-count",$18.99,/all-costco-grocery.html
"IZZE, Sparkling Juice Beverage, Variety Pack, 8.4 fl oz, 24-Count",$14.99,/all-costco-grocery.html
"Sencha Naturals Everyday Matcha Green Tea Powder, 3-pack",$49.99,https://www.costco.com/sencha-naturals-everyday-matcha-green-tea-powder%2c-3-pack.product.100705701.html
"Kirkland Signature, Organic Non-Dairy Oat Beverage, 32 oz, 6-count",$11.99,/all-costco-grocery.html
"Topo Chico Sabores, Variety Pack, 12 fl oz, 24-count",$23.99,/all-costco-grocery.html
"Martinelli's, Gold Medal 100% Pure Apple Juice, 10 fl oz, 24-Count",$29.99,/all-costco-grocery.html
"Dole, 100% Pineapple Juice, 6 fl oz, 24-Count",$15.99,/all-costco-grocery.html
"SO Delicious, Organic Coconut Milk, 32 oz, 6-Count",$12.99,/all-costco-grocery.html
"Kirkland Signature Organic Whole Milk, 8 fl oz, 18-count",$15.99,/all-costco-grocery.html
"San Pellegrino Essenza, Variety Pack, 11.15 fl oz, 24-count",$19.99,/all-costco-grocery.html
"Gatorade Thirst Quencher, Variety Pack, 24 fl oz, 12-count",$22.99,/all-costco-grocery.html
"Pressed Cold-Pressed Juice & Shot Bundle -18 Bottles, 9 Juices & 9 Shots",$69.99,https://www.costco.com/pressed-cold-pressed-juice-%2526-shot-bundle--18-bottles%2c-9-juices-%2526-9-shots.product.100510087.html
"LaCroix Sparkling Water, Berry, 12 fl oz, 24-count",$11.49,/all-costco-grocery.html
"LaCroix Sparkling Water, Lemon, 12 fl oz, 24-count",$11.49,/all-costco-grocery.html
"Dole 100% Pineapple Juice, 8 fl oz, 24-count",$16.99,/all-costco-grocery.html
"Pressed 5-day Cleanse Bundle - 40 bottles, 30 Juices, and 10 Shots",$139.99,https://www.costco.com/pressed-5-day-cleanse-bundle---40-bottles%2c-30-juices%2c-and-10-shots.product.4000180629.html
"Celsius Sparkling Energy Drink, Orange, 12 fl oz, 24-count",$37.99,/all-costco-grocery.html
"Horizon, Organic Whole Milk, 8 oz, 18-Count",$21.99,/all-costco-grocery.html
"Mott's, 100% Apple Juice, 8 fl oz, 24-Count",$15.99,/all-costco-grocery.html
"Welch's Juice Drink, Variety Pack, 10 fl oz, 24-count",$14.99,/all-costco-grocery.html
"Tiesta Tea Maui Mango Herbal Tea Bundle, Two 1 lb. Bags & 5.5 oz Tin",$59.99,https://www.costco.com/tiesta-tea-maui-mango-herbal-tea-bundle%2c-two-1-lb.-bags-%2526-5.5-oz-tin.product.100466598.html
"Red Bull Energy Drink, 8.4 fl oz, 24-count",$31.99,/all-costco-grocery.html
"Celsius Sparkling Energy Drink, Kiwi Guava, 12 fl oz, 24-count",$37.99,/all-costco-grocery.html
"Welch's Juice Drink, Tropical Variety Pack, 10 fl oz, 24-count",$14.99,/all-costco-grocery.html
