Product Name,Price,Product Link
"Hershey's Variety Pack, 30-count",N/A,/all-costco-grocery.html
"Kirkland Signature All Chocolate Bag, 90 oz,",N/A,/all-costco-grocery.html
"Kirkland Signature Funhouse Treats, Variety Pack, 92 oz",N/A,/all-costco-grocery.html
"M&M's, Snickers and More Chocolate Candy Bars, Variety Pack, 30-count",N/A,/all-costco-grocery.html
"Hershey's Nuggets Assortment, Variety Pack, 145-count",N/A,/all-costco-grocery.html
"M&M's, Skittles and More Candy Bars, Variety Pack, Full Size, 30-count",N/A,/all-costco-grocery.html
"Ferrero Rocher, Milk Chocolate Hazelnut Candy, 21.2 oz, 48 Count",N/A,/all-costco-grocery.html
"Kirkland Signature Almonds, Milk Chocolate, 3 lb",N/A,/all-costco-grocery.html
"Hershey's Miniatures, Variety Pack, 56 oz",N/A,/all-costco-grocery.html
"Reese's Peanut Butter Cups, Miniatures, 0.31 oz, 105-count",N/A,/all-costco-grocery.html
"Kirkland Signature Raisins, Milk Chocolate, 3.4 lb",N/A,/all-costco-grocery.html
"Payday Peanut Caramel Bar, 1.85 oz, 24-count",N/A,/all-costco-grocery.html
"Crunch Candy Bar, 1.55 oz, 36-count",N/A,/all-costco-grocery.html
"Kirkland Signature Belgian Luxury Chocolates, 46-count",N/A,/all-costco-grocery.html
"Hershey's Milk Chocolate With Almonds, 1.45 oz, 36-count",N/A,/all-costco-grocery.html
"M&M's Milk Chocolate Candy Minis, 1.08 oz, 24-count",N/A,/all-costco-grocery.html
"AirHeads, 0.55 oz, Variety Pack, 90-count",N/A,/all-costco-grocery.html
"Dove Milk Chocolate Candy Bars, Full Size, 1.44 oz, 18-count",N/A,/all-costco-grocery.html
"Topps Ring Pops, Variety, 40-count",N/A,/all-costco-grocery.html
"Topps Juicy Drop Taffy, 2.36 oz, Variety, 16-count",N/A,/all-costco-grocery.html
"Butterfinger Candy Bar, 1.9 oz, 36-count",N/A,/all-costco-grocery.html
"Reese's Peanut Butter Cups, King Size, 2.8 oz, 24-count",N/A,/all-costco-grocery.html
"M&M's Chocolate Candy, Peanut, 62 oz Jar",N/A,/all-costco-grocery.html
"Reese's Take 5 Candy Bar, 1.5 oz, 18-count",N/A,/all-costco-grocery.html
"Haribo Goldbears Gummi Candy, 2 oz, 24-count",N/A,/all-costco-grocery.html
"Sour Patch Soft & Chewy Candy, Watermelon, 2 oz, 24-count",N/A,/all-costco-grocery.html
"Hi-Chew Fruit Chews, Original Mix, 30 oz",N/A,/all-costco-grocery.html
"Trolli Sour Brite Crawlers Candy, 5 oz, 16-count",N/A,/all-costco-grocery.html
"Starburst Chewy Candy, Original, 54 oz",N/A,/all-costco-grocery.html
"Jolly Rancher Hard Candy, Variety Pack, 80 oz, 360-count",N/A,/all-costco-grocery.html
"Sour Punch Twists, Variety, 180-count",N/A,/all-costco-grocery.html
"Almond Joy Candy Bar, 1.6 oz, 36-count",N/A,/all-costco-grocery.html
"Unreal Dark Chocolate Coconut Minis, 15.3 oz",N/A,/all-costco-grocery.html
"Kellogg's Rice Krispies Treats, 0.78 oz, 60-count",N/A,/all-costco-grocery.html
"Nerds Gummy Clusters, Rainbow, 5 oz, 12-count",N/A,/all-costco-grocery.html
"Hershey's Milk Chocolate with Almonds, King Size, 18-count",N/A,/all-costco-grocery.html
"Hershey's Kisses, Milk Chocolate, 56 oz",N/A,/all-costco-grocery.html
"Lindt Lindor Chocolate Truffles, Assorted Flavors, 21.2 oz",N/A,/all-costco-grocery.html
"Sweet Tart, Twisted Rainbow Punch Ropes, 5 oz, 12-count",N/A,/all-costco-grocery.html
"Kinder Bueno Chocolate and Hazelnut Chocolate Bars, 2 Bars, 1.5 oz, 20 Pack",N/A,/all-costco-grocery.html
"Jolly Rancher Original Gummies, 7 oz, 12-count",N/A,/all-costco-grocery.html
"Life Savers Breath Mints Hard Candy, Wint-O-Green, 53.95 oz Bag",N/A,/all-costco-grocery.html
Godiva Assorted Chocolate Gold Collection Gift Box 36-pieces,N/A,https://www.costco.com/godiva-assorted-chocolate-gold-collection-gift-box-36-pieces.product.4000035545.html
Godiva Masterpieces Assortment of Legendary Milk Chocolate 14.9 oz 4-Pack,N/A,https://www.costco.com/godiva-masterpieces-assortment-of-legendary-milk-chocolate-14.9-oz-4-pack.product.100801165.html
"Kinder Joy Egg, .7 oz, 12-count",N/A,/all-costco-grocery.html
"Bouchard Belgian Napolitains Premium Dark Chocolate 32 oz,  2-pack",N/A,https://www.costco.com/bouchard-belgian-napolitains-premium-dark-chocolate-32-oz%2c--2-pack.product.100661366.html
"Haribo Goldbears Gummi Candy, Mini Bags, 0.4 oz, 125-count",N/A,/all-costco-grocery.html
"Charms Blow Pop, 0.65 oz, Assorted Bubble Gum Filled Pops, 100-count",N/A,/all-costco-grocery.html
"Ferrero Rocher, Milk Chocolate Hazelnut Candy, 1.3 oz, 3-count, 12-pack",N/A,/all-costco-grocery.html
"Skittles Sour Chewy Candy, Full Size, 1.8 oz, 24-count",N/A,/all-costco-grocery.html
"Skittles Tropical Full Size Chewy Candy, 2.17 oz, 36-count",N/A,/all-costco-grocery.html
"Reese's Peanut Butter Cups, Milk Chocolate, 1.5 oz, 36-count",N/A,/all-costco-grocery.html
"Amedei 70% Dark Chocolate, After Dinner/Hotel Lobby Chocolates, 4.5 g, 204 count",N/A,https://www.costco.com/amedei-70%25-dark-chocolate%2c-after-dinnerhotel-lobby-chocolates%2c-4.5-g%2c-204-count.product.4000228935.html
"E.Frutti Gummi Pizza, 48-Count",N/A,/all-costco-grocery.html
"Tootsie Pops, Fun Flavor, 0.6 oz, Assorted, 100-count",N/A,/all-costco-grocery.html
"Kit Kat Crisp Wafers In Milk Chocolate, 1.5 oz, 36-count",N/A,/all-costco-grocery.html
"RED Delight Vegan Dark Chocolate Bars 30 - 14 Gr. Snack Size Bars Per Bag, 2-pack",N/A,https://www.costco.com/red-delight-vegan-dark-chocolate-bars-30---14-gr.-snack-size-bars-per-bag%2c-2-pack.product.100840673.html
"Snickers Chocolate Candy Bars, Full Size, 1.86 oz, 48-count",N/A,/all-costco-grocery.html
"Hershey's King Size Milk Chocolate Bars, 2.6 oz, 18-count",N/A,/all-costco-grocery.html
"Hershey's Milk Chocolate, 1.55 oz, 36-count",N/A,/all-costco-grocery.html
"Skittles Original Chewy Candy, Full Size, 2.17 oz, 36-count",N/A,/all-costco-grocery.html
"Twix Caramel Cookie Chocolate Candy Bar, Full Size, 1.79 oz, 36-count",N/A,/all-costco-grocery.html
"Reese's Peanut Butter Cups, Big Cups, 2.8 oz, 16-count",N/A,/all-costco-grocery.html
"M&M's Chocolate Candy, Peanut, Full Size, 1.74 oz, 48-count",N/A,/all-costco-grocery.html
"Heath Bar, 1.4 oz, 18-count",N/A,/all-costco-grocery.html
"Nutella & GO! Hazelnut and Cocoa Spread With Pretzels, 1.9 oz, 16 Pack",N/A,/all-costco-grocery.html
"M&M's Milk Chocolate Candy, 62 oz Jar",N/A,/all-costco-grocery.html
"Toblerone Swiss Milk Chocolate Bar, 3.52 oz, 6-Count",N/A,/all-costco-grocery.html
"Fruit Gushers Fruit Flavored Snacks, Variety Pack, 0.8 oz, 42-Count",N/A,/all-costco-grocery.html
"A.L. Schutzman Premium Cluster Tins, 23 oz. per Tin, 2 Tins",N/A,https://www.costco.com/a.l.-schutzman-premium-cluster-tins%2c-23-oz.-per-tin%2c-2-tins.product.4000310281.html
"3 Musketeers Chocolate Candy Bar, Full Size, 1.92 oz, 36-count",N/A,/all-costco-grocery.html
"Snickers Chocolate Candy Bars, Share Size, 3.29 oz, 24 count",N/A,/all-costco-grocery.html
"Jelly Belly, Jelly Beans, 64 oz",N/A,/all-costco-grocery.html
"Reese's Sticks, King Size, 3 oz, 24-count",N/A,/all-costco-grocery.html
"Mott's Fruit Snacks, Assorted Fruit, 0.8 oz, 90-count",N/A,/all-costco-grocery.html
"Bouchard Napolitains Milk Chocolate Assortment, 2-count, 4 lb total",N/A,https://www.costco.com/bouchard-napolitains-milk-chocolate-assortment%2c-2-count%2c-4-lb-total.product.4000291836.html
"M&M's Milk Chocolate Candy, Full Size, 1.69 oz, 48-count",N/A,/all-costco-grocery.html
"Topps Baby Bottle Pop Candy, Variety Pack, 1.1 oz, 18-Count",N/A,/all-costco-grocery.html
"Sour Patch Kids Soft & Chewy Candy, 2 oz, 24-count",N/A,/all-costco-grocery.html
"Twix Share Size Chocolate Caramel Cookie Candy Bar, 3.02 oz, 24-count",N/A,/all-costco-grocery.html
"E.Frutti Gummi Mini Burger, 60-count",N/A,/all-costco-grocery.html
"A'cappella Cheesecake Truffle Collections, 24 Truffles Total",N/A,https://www.costco.com/a'cappella-cheesecake-truffle-collections%2c-24-truffles-total.product.4000273587.html
Godiva Dark Chocolate Ganache Hearts 14.8 oz 4-pack,N/A,https://www.costco.com/godiva-dark-chocolate-ganache-hearts-14.8-oz-4-pack.product.100469719.html
"Milky Way Full Size Chocolate Candy, Caramel, 1.84 oz, 36-count",N/A,/all-costco-grocery.html
"Ghirardelli Premium Chocolate Squares Assortment, 23.6 oz bag",N/A,https://www.costco.com/ghirardelli-premium-chocolate-squares-assortment%2c-23.6-oz-bag.product.4000259182.html
"York Dark Chocolate Peppermint Patties, 84 oz, 175-count",N/A,/all-costco-grocery.html
"Godiva Premium Chocolate Variety Assorted Chocolates, 4-pack, 108 Total Pieces",N/A,https://www.costco.com/godiva-premium-chocolate-variety-assorted-chocolates%2c-4-pack%2c-108-total-pieces.product.100237358.html
"Wild West Assorted Chocolate Box, 24.26 oz. total",N/A,https://www.costco.com/wild-west-assorted-chocolate-box%2c-24.26-oz.-total.product.4000274833.html
"Fruit By The Foot, Variety, 0.75 oz, 48-count",N/A,/all-costco-grocery.html
"Kinder Bueno Mini, Chocolate and Hazelnut Cream Chocolate Bars, 17.1 oz",N/A,/all-costco-grocery.html
Sanders Dark Chocolate Sea Salt Bourbon 2-pack (36 oz.),N/A,https://www.costco.com/sanders-dark-chocolate-sea-salt-bourbon-2-pack-36-oz..product.4000237252.html
"Rocky Mountain Chocolate Holiday Party Pack Assortment, 1.59 lb Total",N/A,https://www.costco.com/rocky-mountain-chocolate-holiday-party-pack-assortment%2c-1.59-lb-total.product.100493017.html
"Skittles Gummies, Sour, 5.8 oz Peg Bag, 12-count",N/A,/all-costco-grocery.html
