Product Name,Price,Product Link
"Peet’s Coffee Decaf House Blend K-Cup Pod, 60-count",$39.99,https://www.costco.com/peet%e2%80%99s-coffee-decaf-house-blend-k-cup-pod%2c-60-count.product.100383894.html
"Newman's Own Organics Coffee Special Blend K-Cup Pod, 80-count",$31.99,/all-costco-grocery.html
"Kirkland Signature Coffee Organic Pacific Bold K-Cup Pod, 120-count",$37.99,/all-costco-grocery.html
"Nescafé Taster's Choice Instant Coffee, House Blend, 14 oz",$13.99,/all-costco-grocery.html
"Tully's Coffee Hawaiian Blend K-Cups Pods, 80-count",$31.99,/all-costco-grocery.html
"Kirkland Signature Coffee Organic House Decaf K-Cup Pod, 120-count",$37.99,/all-costco-grocery.html
"Kirkland Signature Coffee Organic Breakfast Blend K-Cup Pod, 120-count",$37.99,/all-costco-grocery.html
"Caribou Coffee Caribou Blend K-Cup Pod, 80-count",$31.99,/all-costco-grocery.html
"Kirkland Signature Coffee Organic Summit Roast K-Cup Pod, 120-count",$37.99,/all-costco-grocery.html
"The Original Donut Shop Coffee K-Cup Pod, 80-count",$31.99,/all-costco-grocery.html
"Peet's Coffee Major Dickason's Blend Coffee, Dark Roast, Whole Bean, 2 lbs",$18.99,/all-costco-grocery.html
"Starbucks Pike Place Medium Roast K-Cup, 72-count",$34.99,/all-costco-grocery.html
"Tully's Coffee French Roast K-Cup Pods, 80-count",$31.99,/all-costco-grocery.html
"Kirkland Signature Espresso Blend Whole Bean Coffee, Dark Roast, 2.5 lbs",$13.69,/all-costco-grocery.html
"Kirkland Signature USDA Organic Whole Bean Blend 2 lb, 2-pack",$29.99,https://www.costco.com/kirkland-signature-usda-organic-whole-bean-blend-2-lb%2c-2-pack.product.100517590.html
"Kirkland Signature House Blend Whole Bean Coffee, Medium Roast, 2.5 lbs",$12.99,/all-costco-grocery.html
"Starbucks Dark French Roast K-Cup, 72-count",$34.99,/all-costco-grocery.html
"Kirkland Signature Organic Ethiopia Whole Bean Coffee, 2 lbs",$19.99,https://www.costco.com/kirkland-signature-organic-ethiopia-whole-bean-coffee%2c-2-lbs.product.100401327.html
"Kirkland Signature Whole Bean Coffee, French Roast, 2.5 lbs",$12.99,/all-costco-grocery.html
"Kirkland Signature Organic Sumatra Whole Bean Coffee, 2 lbs, 2-pack",$42.99,https://www.costco.com/kirkland-signature-organic-sumatra-whole-bean-coffee%2c-2-lbs%2c-2-pack.product.100787428.html
"Starbucks French Roast, Whole Bean Coffee, 2.5 lbs",$22.99,/all-costco-grocery.html
"Starbucks by Nespresso Capsules for Nespresso Vertuo Machines, 68 ct. Variety Pack",$79.99,https://www.costco.com/starbucks-by-nespresso-capsules-for-nespresso-vertuo-machines%2c-68-ct.-variety-pack.product.4000295818.html
"Kirkland Signature Colombian Supremo Coffee, Whole Bean, 3 lbs",$20.99,/all-costco-grocery.html
"Kirkland Signature 100% Colombian Coffee, Dark Roast, 3 lbs",$16.99,/all-costco-grocery.html
"Roaster's Reserve Coffee K-Cup Pod Variety Pack, 60ct K-Cup Pods",$31.99,/all-costco-grocery.html
"Folgers Classic Roast Ground Coffee, Medium, 43.5 oz",$11.99,/all-costco-grocery.html
"Peet's Coffee Major Dickason's Blend K-Cup Pod, 75-count",$35.99,/all-costco-grocery.html
