Product Name,Price,Product Link
"Giordano's Chicago Frozen 10"" Deep Dish Stuffed Pizza, 3-pack",$89.99,https://www.costco.com/giordano's-chicago-frozen-10%22-deep-dish-stuffed-pizza%2c-3-pack.product.100974087.html
"Plaza Osetra Farmed Bulgarian Sturgeon Caviar 2 oz, 3-pack",$249.99,https://www.costco.com/plaza-osetra-farmed-bulgarian-sturgeon-caviar-2-oz%2c-3-pack.product.100020644.html
Tsar Nicoulai Caviar Tasting Flight Gift Set,$249.99,https://www.costco.com/tsar-nicoulai-caviar-tasting-flight-gift-set.product.4000187782.html
"Mila Starter Pack Xiao Long Bao Soup Dumplings - 3 Bags, 1 Bamboo Steamer, 4 Dipping Bowls",$129.99,https://www.costco.com/mila-starter-pack-xiao-long-bao-soup-dumplings---3-bags%2c-1-bamboo-steamer%2c-4-dipping-bowls.product.4000216244.html
Tsar Nicoulai Estate White Sturgeon Caviar 4.4 oz,$199.99,https://www.costco.com/tsar-nicoulai-estate-white-sturgeon-caviar-4.4-oz.product.100777026.html
"Mila Pork Xiao Long Bao Soup Dumplings - 50 Dumplings Per Bag, 3 Bags Total",$99.99,https://www.costco.com/mila-pork-xiao-long-bao-soup-dumplings---50-dumplings-per-bag%2c-3-bags-total.product.4000053033.html
"Mila Variety Pack - Xiao Long Bao Soup Dumplings - 50 Dumplings Per Bag, 3 Bags Total",$99.99,https://www.costco.com/mila-variety-pack---xiao-long-bao-soup-dumplings---50-dumplings-per-bag%2c-3-bags-total.product.4000053093.html
"Mila Chicken Xiao Long Bao Soup Dumplings - 50 Dumplings Per Bag, 3 Bags Total",$99.99,https://www.costco.com/mila-chicken-xiao-long-bao-soup-dumplings---50-dumplings-per-bag%2c-3-bags-total.product.4000053115.html
"D'Artagnan 13-piece Gourmet Roasting Ham & Luxury Charcuterie Gift Box, 12.5 lbs",$199.99,https://www.costco.com/d'artagnan-13-piece-gourmet-roasting-ham-%2526-luxury-charcuterie-gift-box%2c-12.5-lbs.product.100682449.html
"Covap Jamon Iberico Bellota Ham Leg with Stand and Knife, 15.4 lbs.",$649.99,https://www.costco.com/covap%c2%a0jamon-iberico-bellota-ham-leg-with-stand-and-knife%2c-15.4-lbs.%c2%a0.product.100519895.html
"Tsar Nicoulai Baerii Caviar 2 oz, 3-pack",$249.99,https://www.costco.com/tsar-nicoulai-baerii-caviar-2-oz%2c-3-pack.product.100852549.html
"D'Artagnan 18-month Aged Boneless Spanish Serrano Ham, 9.5 lbs",$199.99,https://www.costco.com/d'artagnan-18-month-aged-boneless-spanish-serrano-ham%2c-9.5-lbs.product.11679636.html
"Rastelli’s Black Angus Beef Tenderloin Roast Meal, Serves 6",$159.99,https://www.costco.com/rastelli%e2%80%99s-black-angus-beef-tenderloin-roast-meal%2c-serves-6.product.100715660.html
"Texas Tamale Co. Pork Tamales 6pk of 12 Each, 72-count",$89.99,https://www.costco.com/texas-tamale-co.-pork-tamales-6pk-of-12-each%2c-72-count.product.100815462.html
Plaza Golden Osetra 2 oz Caviar Gift Set,$169.99,https://www.costco.com/plaza-golden-osetra-2-oz-caviar-gift-set.product.100792583.html
