Product Name,Price,Product Link
"Season, Skinless & Boneless Sardines In Olive Oil, 4.375 oz, 6-Count",$13.99,/all-costco-grocery.html
"Kirkland Signature, Organic Extra Virgin Olive Oil, 2 L",$22.99,/all-costco-grocery.html
"Kirkland Signature Organic Peanut Butter, 28 oz, 2-count",$12.99,/all-costco-grocery.html
"Kirkland Signature Creamy Almond Butter, 27 oz",$7.49,/all-costco-grocery.html
"Kirkland Signature, Extra Virgin Italian Olive Oil, 2 L",$25.99,/all-costco-grocery.html
"Snapdragon Vietnamese Pho, Beef, 2.7 oz, 9-count",$14.99,/all-costco-grocery.html
"Kirkland Signature, Chicken Breast, 12.5 oz, 6-Count",$14.99,/all-costco-grocery.html
"Nongshim, Udon Noodle Soup Bowl, 9.73 oz, 6-Count",$22.99,/all-costco-grocery.html
"Kirkland Signature Olive Oil, 3 L",$36.99,/all-costco-grocery.html
"Nongshim, Shin Ramyun Noodle Soup, 4.2 oz, 18-Count",$19.99,/all-costco-grocery.html
"Campbell's, Simply Chicken Noodle Soup, 18.6 oz, 8-Count",$15.99,/all-costco-grocery.html
"Terra Delyssa First Cold Press Extra Virgin Olive Oil 3L, Tin, 2-count",$89.99,https://www.costco.com/terra-delyssa-first-cold-press-extra-virgin-olive-oil-3l%2c-tin%2c-2-count.product.100681877.html
"Napa Valley Naturals USDA Organic Extra Virgin Olive Oil 25.4 oz, 6-count",$79.99,https://www.costco.com/napa-valley-naturals-usda-organic-extra-virgin-olive-oil-25.4-oz%2c-6-count.product.100668206.html
TRE Olive 2 Liter Extra Virgin Olive Oil,$44.99,https://www.costco.com/tre-olive-2-liter-extra-virgin-olive-oil.product.100982496.html
"Origin 846 Unfiltered Organic Extra Virgin Olive Oil 28.6 oz, 3-pack",$44.99,https://www.costco.com/origin-846-unfiltered-organic-extra-virgin-olive-oil-28.6-oz%2c-3-pack.product.100776213.html
Tre Olive Harvest Variety Gift Box Extra Virgin Olive Oil 3-Pack,$44.99,https://www.costco.com/tre-olive-harvest-variety-gift-box-extra-virgin-olive-oil-3-pack.product.4000100477.html
"Myrtos Greek Extra Virgin Olive Oil 3L, Tins, 2-pack",$89.99,https://www.costco.com/myrtos-greek-extra-virgin-olive-oil-3l%2c-tins%2c-2-pack.product.100070606.html
"La Civetta Italian Extra Virgin Olive Oil 3L, Tins, 2-pack",$89.99,https://www.costco.com/la-civetta-italian-extra-virgin-olive-oil-3l%2c-tins%2c-2-pack.product.100070605.html
"Pho'nomenal Vietnamese Noodle Soup Bowl, Veggie, 2.1 oz, 6-count",$11.99,/all-costco-grocery.html
"Skippy Peanut Butter, Creamy, 48 oz, 2-count",$12.99,/all-costco-grocery.html
"Nissin, Cup Noodles, Shrimp, 2.5 oz, 24-Count",$13.99,/all-costco-grocery.html
"Nissin, Cup Noodles, Chicken, 24-Count",$13.99,/all-costco-grocery.html
"Kraft, Macaroni & Cheese Dinner Cup, 2.05 oz, 12-Count",$12.49,/all-costco-grocery.html
"Jif To Go Peanut Butter Cups, Creamy, 1.5 oz, 36-count",$13.49,/all-costco-grocery.html
"Kirkland Signature, Albacore Solid White Tuna in Water, 7 oz, 8-Count",$18.99,/all-costco-grocery.html
Manuka Health UMF 10+ (MGO 263+) Raw Manuka Honey 17.6 oz,$29.99,https://www.costco.com/manuka-health-umf-10%2b-mgo-263%2b-raw-manuka-honey-17.6-oz.product.100809899.html
"Kraft, Macaroni & Cheese Dinner, 7.25 oz, 18-Count",$18.99,/all-costco-grocery.html
"Nissin, Hot & Spicy Noodle Bowl, Chicken, 3.32 oz, 18-Count",$20.99,/all-costco-grocery.html
TRE Olive Oil Calabrian Gift Box,$79.99,https://www.costco.com/tre-olive-oil-calabrian-gift-box.product.100793007.html
"Prego, Pasta Sauce Low Sodium 45 oz, 3-Count",$10.99,/all-costco-grocery.html
"Giusti Complete Italian Balsamic Vinegar Collection, 5-pack",$219.99,https://www.costco.com/giusti-complete-italian-balsamic-vinegar-collection%2c-5-pack.product.4000027112.html
"Indomie Mi Goreng Instant Fried Noodles, 3 oz, 40-count",$23.99,/all-costco-grocery.html
"Garofalo, Organic Pasta, Variety Pack, 17.6 oz, 6-Count",$12.99,/all-costco-grocery.html
"Kirkland Signature Organic Unbleached All Purpose Flour, 10 lbs, 2-count",$19.99,/all-costco-grocery.html
Manuka Health UMF 20+ (MGO 850+) Raw Manuka Honey 8.8 oz,$54.99,https://www.costco.com/manuka-health-umf-20%2b-mgo-850%2b-raw-manuka-honey%c2%a08.8-oz.product.100567043.html
"Skippy Peanut Butter, Super Chunk, 48 oz, 2-count",$12.99,/all-costco-grocery.html
"Arm & Hammer, Pure Baking Soda, 13.5 lbs",$10.99,/all-costco-grocery.html
"Yo Mama's Low-Sodium Variety Pasta Sauce, 3-pack",$21.99,https://www.costco.com/yo-mama's-low-sodium-variety-pasta-sauce%2c-3-pack.product.4000303456.html
"Chicken of the Sea, Chunk Light Premium Tuna in Water, 7 oz, 12-Count",$17.99,/all-costco-grocery.html
"Nissin, Cup Noodles, Beef, 2.5 oz, 24-Count",$13.99,/all-costco-grocery.html
"Kraft, Grated Parmesan Cheese 4.5 lbs",$24.99,/all-costco-grocery.html
"Kirkland Signature, Organic Quinoa, 4.5 lbs",$10.99,/all-costco-grocery.html
"Nongshim, Hot & Spicy Ramyun Noodle Bowl, 3.03 oz, 18-count",$21.99,/all-costco-grocery.html
"Kirkland Signature Organic Pure Maple Syrup, 33.8 oz",$14.99,/all-costco-grocery.html
"Kirkland Signature Wild Flower Honey, 5 lbs",$14.99,/all-costco-grocery.html
"Hidden Valley Original Ranch Dressing, 40 fl oz, 2-Count",$11.49,/all-costco-grocery.html
"Samyang Buldak Ramen Carbonara, Spicy Chicken, 3.7 oz, 6-count",$13.99,/all-costco-grocery.html
"Cholula, Hot Sauce Original, 12 fl oz, 2-Count",$11.99,/all-costco-grocery.html
"Kirkland Signature, Organic Chicken Stock, 32 fl oz, 6-Count",$11.99,/all-costco-grocery.html
"Bibigo, Cooked Sticky White Rice Bowls, Medium Grain, 7.4 oz, 12-Count",$13.49,/all-costco-grocery.html
Comvita Certified UMF 20+ (MGO 829+) Raw Manuka Honey 8.8 oz (2-pack),$99.99,https://www.costco.com/comvita-certified-umf-20%2b-mgo-829%2b-raw-manuka-honey-8.8-oz-2-pack.product.4000262167.html
"Nongshim, Tonkotsu Ramen Bowl, 3.56 oz, 6-Count",$10.39,/all-costco-grocery.html
"Kirkland Signature, Organic Virgin Coconut Oil, 84 fl oz",$14.99,/all-costco-grocery.html
"Tabasco Pepper Sauce, Original, 12 fl oz",$6.49,/all-costco-grocery.html
"Kirkland Signature Organic Raw Honey, 24 oz, 3-count",$14.99,/all-costco-grocery.html
Comvita Certified UMF 5+  (MGO 83+) Raw Manuka Honey (35.2 oz),$44.99,https://www.costco.com/comvita-certified-umf-5%2b--mgo-83%2b-raw-manuka-honey-35.2-oz.product.100823263.html
Comvita Certified UMF 18+ (MGO 696+) Raw Manuka Honey (8.8 oz),$59.99,https://www.costco.com/comvita-certified-umf-18%2b-mgo-696%2b-raw-manuka-honey-8.8-oz.product.100848847.html
"Kirkland Signature, Bacon Crumbles, 20 oz",$10.99,/all-costco-grocery.html
"Chosen Foods Avocado Oil Spray, 13.5 oz, 2-count",$21.99,https://www.costco.com/chosen-foods-avocado-oil-spray%2c-13.5-oz%2c-2-count.product.100643792.html
"Nielsen-Massey Madagascar Bourbon Pure Vanilla Bean Paste, 8 oz.",$23.99,https://www.costco.com/nielsen-massey-madagascar-bourbon-pure-vanilla-bean-paste%2c-8-oz..product.100854891.html
Comvita UMF 25+ Special Reserve Manuka Honey 8.8 oz,$349.99,https://www.costco.com/comvita-umf-25%2b-special-reserve-manuka-honey-8.8-oz.product.100787119.html
"Seeds of Change, Organic Quinoa and Brown Rice with Garlic, 8.5 oz Pouch, 6-Count",$14.99,/all-costco-grocery.html
"Thai Kitchen Organic Coconut Milk, Unsweetened, 13.66 fl oz, 6-count",$12.99,/all-costco-grocery.html
"Garofalo, Organic Spaghetti Noodles, 17.6 oz, 8-Count",$15.99,/all-costco-grocery.html
"Del Monte, Canned Cut Green Beans, 14.5 oz, 12-Count",$12.99,/all-costco-grocery.html
"Hidden Valley, Ranch Homestyle Seasoning, Dip and Salad Dressing Mix, 20 oz",$9.49,/all-costco-grocery.html
"Nissin Top Ramen Bowl, Chicken, 3.42 oz, 12-count",$13.99,/all-costco-grocery.html
"Heinz, Tomato Ketchup, 44 oz, 3-Count",$12.99,/all-costco-grocery.html
"Namaste Gluten Free Perfect Flour Blend, 6-pack",$44.99,https://www.costco.com/namaste-gluten-free-perfect-flour-blend%2c-6-pack.product.100242928.html
"Kirkland Signature, Minced California Garlic, 48 oz",$8.49,/all-costco-grocery.html
"Kirkland Signature, Organic Tomato Sauce, 15 oz, 12-Count",$13.99,/all-costco-grocery.html
"Golden Nest Premium Bird Nest Soup, Original, 75 ml Bottles, 8-count, 2-pack",$99.99,https://www.costco.com/golden-nest-premium-bird-nest-soup%2c-original%2c-75-ml-bottles%2c-8-count%2c-2-pack.product.100726399.html
