Product Name,Price,Product Link
"Ahi Tuna Individual Vacuum Packed Portion (26-27/6 Oz. Per Portion), 26-27 Total Packs, 10 Lbs. Total Case",$219.99,https://www.costco.com/ahi-tuna-individual-vacuum-packed-portion-26-276-oz.-per-portion%2c-26-27-total-packs%2c-10-lbs.-total-case.product.100976838.html
"Northwest Fish Wild Alaskan Sockeye Salmon Fillets Total 25 Count, 1 Case Totaling 10 Lbs.",$179.99,https://www.costco.com/northwest-fish-wild-alaskan-sockeye-salmon-fillets-total-25-count%2c-1-case-totaling-10-lbs..product.100393370.html
"Chicago Steak Premium Angus Beef Surf & Turf, 15 Total Packs, 7 Lbs. Total",$239.99,https://www.costco.com/chicago-steak-premium-angus-beef-surf-%2526-turf%2c-15-total-packs%2c-7-lbs.-total.product.100469217.html
Coastal Seafood Frozen Lobster Tails 12 Count (6 - 8  oz.),$249.99,https://www.costco.com/coastal-seafood-frozen-lobster-tails-12-count-6---8--oz..product.4000092293.html
"Chicago Steak Filet Mignon & Scallop Combo, 14 Total Packs, 7 Lbs. Total",$249.99,https://www.costco.com/chicago-steak-filet-mignon-%2526-scallop-combo%2c-14-total-packs%2c-7-lbs.-total.product.4000052992.html
"Crown Prince Smoked Oysters in Olive Oil, Fancy Whole, 3.75 oz, 6-count",$14.99,/all-costco-grocery.html
"Coastal Seafoods Super Colossal Alaskan Red King Crab Leg Clusters, Total 10 lbs.",$549.99,https://www.costco.com/coastal-seafoods-super-colossal-alaskan-red-king-crab-leg-clusters%2c-total-10-lbs..product.4000309045.html
"Sesame Crusted Ahi Tuna Steaks, 18 Total Packs, 1 Case Totaling 12 Lbs.",$269.99,https://www.costco.com/sesame-crusted-ahi-tuna-steaks%2c-18-total-packs%2c-1-case-totaling-12-lbs..product.4000101718.html
"Northwest Fish Wild Alaskan Cod Loins Total 25 Count, 1 Case Totaling 10 Lbs.",$199.99,https://www.costco.com/northwest-fish-wild-alaskan-cod-loins-total-25-count%2c-1-case-totaling-10-lbs..product.100393357.html
"“Naked” Lobster 100% Boneless Lobster Meat, 6 - 6 oz. Packs, 2.25 Lbs. Total",$269.99,https://www.costco.com/%e2%80%9cnaked%e2%80%9d-lobster-100%25-boneless-lobster-meat%2c-6---6-oz.-packs%2c-2.25-lbs.-total.product.4000309329.html
